id,name,url,verdict,pros,cons,Audience score,Price,Pace,Shock absorption,Energy return,Traction,Arch support,Weight Lab,Weight Brand,Lightweight,Drop Lab,Drop Brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Plate,Rocker,Heel Lab,Heel Brand,Forefoot Lab,Forefoot Brand,Widths available,Orthotic friendly,Season,Removable insole,Ranking,Popularity

26,New Balance FuelCell Rebel v5,https://runrepeat.com/new-balance-fuel-cell-rebel-v-5,"We believe the Rebel v5 is a strong upgrade that fixes the biggest flaws of version 4 while keeping the same price, plush foam, and flexible design. In our tests, we found better shock absorption and a heel collar that finally feels smooth and irritation-free. What impressed us most were the light build, roomy toebox, and fun ride. However, it still lacks a bit in airflow, and upper durability remains a real concern.","Lightweight build
. Cloud-soft FuelCell foam
. Fixes all issues from v4
. Maintains the same price from v4
. Handles easy runs and tempo sessions
. Top pick for midfoot strikers
. Still flexible and fun
. Improved fit overall","Runs warm on hot summer days
. Upper durability is a concern
. Traction could be better",90 Superb!,"₩274,200",Daily running/Tempo,145 SA,59.80%,0.5,Neutral,220g,225g,Y,6.3 mm,6.0 mm,Mid/forefoot,True to size,25.9 AC,17%,1/5,4/5,0.8 mm,3/5,96.1 mm,75.0 mm,11.7N,2/5,3/5,N,Y,33.0 mm,35.0 mm,26.7 mm,29.0 mm,Normal/Wide,Y,All seasons,Y,#43Top 12%,#30Top 8%

27,New Balance FuelCell SuperComp Elite v5,https://runrepeat.com/new-balance-fuel-cell-super-comp-elite-v-5,"We think the FuelCell SuperComp Elite v5 marks a solid step forward for New Balance. In our lab tests and runs, we found it lighter and faster, with an improved lockdown and better grip. The shoe felt energetic yet comfortable, offering more room in the toebox than most rivals. That said, we feel the Elite v5 hits many right notes, yet it's still far from making a table-banging statement in the super shoe category.","Improved performance and speed
. Roomy toebox (for a competition shoe)
. Maxed-out heel stack
. Much lighter than before
. Strong grip from new outsole design
. Redesigned plate curvature for faster transitions
. Premium, breathable upper
. Fixes heel and tongue issues from v4","Still not among the fastest supershoes
. Narrow heel reduces stability
. High drop may not suit everyone
. Comes without high-grip laces",90 Superb!,"₩479,840",Competition,144 SA,74.80%,0.61,Neutral,198g,213g,Y,10.7 mm,8.0 mm,Heel,True to size,33.8 AC,9%,1/5,3/5,1.1 mm,4/5,93.8 mm,74.5 mm,16.2N,4/5,2/5,Carbon plate,Y,39.3 mm,40.0 mm,28.6 mm,32.0 mm,Normal/Wide,Y,All seasons,Y,#57Top 15%,#31Top 8%

28,On Cloudmonster 2,https://runrepeat.com/on-cloudmonster-2,"We discovered that the On Cloudmonster 2 isn't just a head-turner with its unique design—it's a top-notch training ally as well. Despite its premium price tag, we found that the investment is well worth it, offering a blend of high-end materials, an exceptionally spacious upper, a dynamic and stable ride, along with outstanding durability. Although we anticipated a more responsive foam and less weight at this price, we found the Cloudmonster 2 to be a fun and reliable shoe, catering well to a wide range of runners.","Premium materials
. Enhanced cushioning from v1
. Roomy toebox
. Works fantastic for midfoot strikers
. Unique ride feel
. Excels in long runs
. Solid stability","Breathability needs improvement
. Tongue lacks enough cushion
. Needs to lose a bit of weight
. Not enough energy return",89 Great!,"₩325,610",Daily running,137 SA,56.50%,0.5,Neutral,292g,295g,N,6.6 mm,6.0 mm,Mid/forefoot,Slightly large,49.6 AC,19%,5/5,3/5,0.8 mm,2/5,98.5 mm,74.5 mm,17.9N,3/5,3/5,N,Y,37.9 mm,35.0 mm,31.3 mm,29.0 mm,Normal/,Y,All seasons,Y,#101Top 26%,#27Top 7%

29,PUMA Velocity Nitro 4,https://runrepeat.com/puma-velocity-nitro-4,"We were amazed by the PUMA Velocity Nitro 4 and its explosive energy return at such a fair price. We loved the lightweight feel, the grippy PumaGrip outsole, and the fun ride. While it’s not ideal for long distances and the forefoot runs a bit snug, we firmly believe this is one of the most impressive daily trainers we’ve tested in the lab.","Impressive energy return
. Lightweight and agile underfoot
. Superior traction from PumaGrip outsole
. Handles tempo efforts with ease
. Flexible and comfortable for everyday use
. Accurate real drop
. Natural-feeling, non-rockered design
. Balanced cushioning with some ground feel
. Looks really cool","Not ideal for long runs
. Fit leans toward the narrow side
. Midsole becomes firmer in cold conditions
. Slight price increase",92 Superb!,$140,Daily runningTempo,136 SA,67.50%,0.65,Neutral,224g,245g,Y,9.7 mm,10.0 mm,HeelMid/forefoot,True to size,41.8 AC,41%,3/5,3/5,1.1 mm,3/5,93.0 mm,71.6 mm,8.9N,2/5,3/5,N,N,33.7 mm,36.0 mm,24.0 mm,26.0 mm,Normal/Wide,Y,All seasons,Y,#6Top 2%,#56Top 15%

30,Brooks Ghost Max 2,https://runrepeat.com/brooks-ghost-max-2,"In our view, the Brooks Ghost Max 2 is a mixed bag—offering impressive stability and enhanced energy return, yet let down by its firmer midsole and heavier build. Despite these drawbacks, its attractive price point makes it an excellent choice for beginners or casual joggers seeking a dependable, maximalist running shoe that won't strain the wallet.","Improved energy return
. Fantastic value
. Great durability
. Breathable upper
. Outsole grips well even in wet surfaces
. Doubles as a walking shoe
. Excels at easy paces
. Superior stability
. Ready for long runs","Would benefit from softer foam
. Clunky for heel strikers
. A bit heavy
. Non-gusseted tongue",85 Good!,"₩274,200",Daily running,138 SA,58.90%,0.51,Neutral,305g,309g,N,9.9 mm,6.0 mm,HeelMid/forefoot,True to size,39.2 AC,36%,3/5,4/5,0.8 mm,5/5,96.5 mm,71.0 mm,20.0N,4/5,4/5,N,N,39.0 mm,39.0 mm,29.1 mm,33.0 mm,Normal/Wide/X-Wide,Y,Summer/All seasons,Y,#449Bottom 35%,#22Top 4%
